id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
251783411,Футболка мужская оверсайз варенка,5000,925,,81,Mari-t,5,Трошин И.А.,4.7,50,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/251783411/detail.aspx?targetUrl=BP
182363991,Футболка белая однотонная,1650,757,,54,M.S.,5,M.S.,4.8,65,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/182363991/detail.aspx?targetUrl=BP
203875029,Футболка варенка оверсайз,1800,932,,48,ART`,5,ART,4.8,319,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/203875029/detail.aspx?targetUrl=BP
238634887,Футболка с принтом хлопок,2000,465,,76,Стильная линия,5,Стильная линия,4.8,6765,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/238634887/detail.aspx?targetUrl=BP
178958131,Футболка мужская с принтом темно-серая со львом хлопок,2100,481,,77,Макс-Экстрим,5,Макс Экстрим,4.8,3690,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/178958131/detail.aspx?targetUrl=BP
207795932,Футболка во все тяжкие,3211,1015,,68,EzTish,5,EzTish,4.8,62,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/207795932/detail.aspx?targetUrl=BP
159632993,Футболка базовая хлопок летняя с вырезом V,3600,468,,87,Let`s Go,5,ОТК - РЕГИОН,4.8,3185,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/159632993/detail.aspx?targetUrl=BP
173991653,Военная тактическая милитари футболка из хлопка,1150,631,,45,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/173991653/detail.aspx?targetUrl=BP
222547498,Футболка Burzum Бурзум,1400,497,,64,CONSTELL SEVEN,5,CONSTELL SEVEN,4.7,16,4.5,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/222547498/detail.aspx?targetUrl=BP
65194370,Футболка оверсайз с принтом y2k,1980,512,,74,IAMAYKA,5,ЯMAYKA,4.7,9960,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/65194370/detail.aspx?targetUrl=BP
171426148,Футболка терракотовая хлопок с надписью,1940,416,,78,Макс-Экстрим,5,Макс Экстрим,4.8,14933,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/171426148/detail.aspx?targetUrl=BP
213942879,Футболка оверсайз с принтом,3299,1025,,68,SAW URBANITY,5,ИП Ахметов Р.У.,4.7,645,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/213942879/detail.aspx?targetUrl=BP
214359578,Футболка с прикольным принтом суета,1890,643,,65,Legendary,5,CAP SULE,4.6,246,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/214359578/detail.aspx?targetUrl=BP
161791220,Футболка мужская хаки с иероглифами хлопок Япония,1940,559,,71,Макс-Экстрим,5,Макс Экстрим,4.8,14933,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/161791220/detail.aspx?targetUrl=BP
15689485,Футболка «Воин» с надписью и принтом,3071,1840,,40,Дух Предков,5,Дух Предков,4.9,828,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/15689485/detail.aspx?targetUrl=BP
4311249,Футболка Мачете синяя с принтом ножи,2290,559,,75,Макс-Экстрим,5,Макс Экстрим,4.8,707,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/4311249/detail.aspx?targetUrl=BP
33609027,Военная тактическая милитари футболка из хлопка,1350,715,,47,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/33609027/detail.aspx?targetUrl=BP
